Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
11,Betis,es La Liga,25,26.7,61.8,38,418,3420,38,43,30,38,5,7,89,1,1.13,0.79,1.92,1,1.79,47.1,41.5,32.9,74.4,1.24,0.87,2.1,1.09,1.96
12,Bologna,it Serie A,29,27,44.9,38,418,3420,38,45,35,40,5,5,91,6,1.18,0.92,2.11,1.05,1.97,46.8,42.9,30.8,73.7,1.23,0.81,2.04,1.13,1.94
13,Bordeaux,fr Ligue 1,33,25.3,50.1,38,418,3420,38,34,26,29,5,6,74,5,0.89,0.68,1.58,0.76,1.45,39.7,35,29.5,64.5,1.05,0.78,1.82,0.92,1.7
14,Bournemouth,eng Premier League,28,26.6,46.9,38,418,3420,38,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.3,46.2,38.8,85,1.4,1.02,2.42,1.22,2.24
15,Brighton,eng Premier League,21,27.4,42.4,38,418,3420,38,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,35.3,30.7,24.5,55.2,0.93,0.64,1.57,0.81,1.45
16,Burnley,eng Premier League,23,28,41.2,38,418,3420,38,43,32,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,44.4,42.8,31.2,74,1.17,0.82,1.99,1.13,1.95
17,Caen,fr Ligue 1,26,25.8,44,38,418,3420,38,29,17,25,4,4,79,6,0.76,0.45,1.21,0.66,1.11,31,27.9,20.6,48.5,0.82,0.54,1.36,0.73,1.28
18,Cagliari,it Serie A,30,27.9,49.8,38,418,3420,38,35,27,33,2,3,94,9,0.92,0.71,1.63,0.87,1.58,42.1,39.7,30.7,70.4,1.11,0.81,1.91,1.05,1.85
19,Cardiff City,eng Premier League,25,27.7,35.4,38,418,3420,38,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,42.4,39.2,27.6,66.8,1.11,0.73,1.84,1.03,1.76
20,Celta Vigo,es La Liga,28,25.5,51.6,38,418,3420,38,52,37,45,7,7,79,6,1.37,0.97,2.34,1.18,2.16,46.5,41.2,33.6,74.8,1.22,0.88,2.11,1.08,1.97
21,Chelsea,eng Premier League,24,27.3,62.9,38,418,3420,38,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,58.6,54.6,44.9,99.6,1.54,1.18,2.72,1.44,2.62
22,Chievo,it Serie A,36,28.3,43.3,38,418,3420,38,25,17,21,4,6,110,7,0.66,0.45,1.11,0.55,1,36,31.7,25.6,57.3,0.95,0.67,1.62,0.83,1.51
23,Crystal Palace,eng Premier League,26,27.4,45.2,38,418,3420,38,48,33,38,10,11,58,2,1.26,0.87,2.13,1,1.87,47.6,39.2,29.5,68.7,1.25,0.78,2.03,1.03,1.81
24,Dijon,fr Ligue 1,26,27.1,47.9,38,418,3420,38,29,21,26,3,4,75,7,0.76,0.55,1.32,0.68,1.24,39.8,36.6,28.1,64.8,1.05,0.74,1.79,0.96,1.7
25,Dortmund,de Bundesliga,23,24.8,58.1,34,374,3060,34,80,60,76,4,4,40,3,2.35,1.76,4.12,2.24,4,61.5,58.4,46,104.4,1.81,1.35,3.16,1.72,3.07
26,Düsseldorf,de Bundesliga,24,26.9,43.2,34,374,3060,34,48,35,43,5,7,67,1,1.41,1.03,2.44,1.26,2.29,47.1,41.6,32.2,73.8,1.39,0.95,2.33,1.22,2.17
27,Eibar,es La Liga,25,28.5,54,38,418,3420,38,46,26,39,7,8,81,2,1.21,0.68,1.89,1.03,1.71,54.8,48.6,36.7,85.3,1.44,0.96,2.41,1.28,2.24
28,Eint Frankfurt,de Bundesliga,30,26.4,47.2,34,374,3060,34,60,42,56,4,4,58,3,1.76,1.24,3,1.65,2.88,57.2,54.4,42.9,97.3,1.68,1.26,2.95,1.6,2.86
29,Empoli,it Serie A,29,26.4,47.9,38,418,3420,38,48,36,44,4,7,73,3,1.26,0.95,2.21,1.16,2.11,52.4,46.8,37.5,84.3,1.38,0.99,2.36,1.23,2.22
30,Espanyol,es La Liga,25,27.7,49.4,38,418,3420,38,43,26,39,4,4,90,2,1.13,0.68,1.82,1.03,1.71,48.9,45.8,33.8,79.6,1.29,0.89,2.18,1.21,2.1
31,Everton,eng Premier League,23,25.7,51.5,38,418,3420,38,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,49.7,45.7,33.7,79.4,1.31,0.89,2.19,1.2,2.09
32,Fiorentina,it Serie A,27,24.1,50.4,38,418,3420,38,45,24,40,5,6,89,5,1.18,0.63,1.82,1.05,1.68,54,49.2,35.8,85,1.42,0.94,2.36,1.3,2.24
33,Freiburg,de Bundesliga,28,25.8,44,34,374,3060,34,44,25,39,5,6,54,3,1.29,0.74,2.03,1.15,1.88,40.9,36.2,26.5,62.6,1.2,0.78,1.98,1.06,1.84
34,Frosinone,it Serie A,33,26.4,41.5,38,418,3420,38,28,21,24,4,5,99,2,0.74,0.55,1.29,0.63,1.18,38.9,35.1,27.1,62.2,1.02,0.71,1.74,0.92,1.64
35,Fulham,eng Premier League,28,26,48.8,38,418,3420,38,33,24,31,2,3,70,2,0.87,0.63,1.5,0.82,1.45,41.3,39,30,69,1.09,0.79,1.88,1.03,1.82
36,Genoa,it Serie A,31,26,43.4,38,418,3420,38,37,26,33,4,5,95,7,0.97,0.68,1.66,0.87,1.55,46.9,43,32.5,75.5,1.24,0.86,2.09,1.13,1.99
37,Getafe,es La Liga,26,27.5,40.7,38,418,3420,38,47,34,41,6,6,107,7,1.24,0.89,2.13,1.08,1.97,46.2,41.6,32.9,74.4,1.22,0.87,2.08,1.09,1.96
38,Girona,es La Liga,26,26.6,48,38,418,3420,38,37,23,31,6,6,81,4,0.97,0.61,1.58,0.82,1.42,43.5,39.3,29.3,68.6,1.14,0.77,1.91,1.04,1.81
39,Guingamp,fr Ligue 1,30,26,44.1,38,418,3420,38,28,21,23,5,6,58,5,0.74,0.55,1.29,0.61,1.16,40.4,35.7,28.8,64.5,1.06,0.76,1.82,0.94,1.7
40,Hannover 96,de Bundesliga,32,26.3,46.3,34,374,3060,34,30,20,27,3,3,61,4,0.88,0.59,1.47,0.79,1.38,37.2,34.9,27.2,62,1.1,0.8,1.89,1.03,1.82
41,Hertha BSC,de Bundesliga,26,25.9,47.9,34,374,3060,34,49,32,45,4,4,64,5,1.44,0.94,2.38,1.32,2.26,51,48,36.8,84.8,1.5,1.08,2.58,1.41,2.49
42,Hoffenheim,de Bundesliga,29,25.5,53.8,34,374,3060,34,69,49,63,6,7,67,2,2.03,1.44,3.47,1.85,3.29,75.9,70.5,56.8,127.3,2.23,1.67,3.9,2.07,3.74
43,Huddersfield,eng Premier League,31,26.2,47.2,38,418,3420,38,21,13,20,1,1,56,4,0.55,0.34,0.89,0.53,0.87,28.8,28,19.9,47.9,0.76,0.52,1.28,0.74,1.26
44,Huesca,es La Liga,30,26.7,44.5,38,418,3420,38,43,28,37,6,7,113,3,1.13,0.74,1.87,0.97,1.71,50.8,45.4,34.6,80,1.34,0.91,2.25,1.19,2.1
45,Inter,it Serie A,23,27.7,59.4,38,418,3420,38,57,36,49,8,9,73,3,1.5,0.95,2.45,1.29,2.24,63.8,56.8,45.4,102.3,1.68,1.2,2.88,1.5,2.69
46,Juventus,it Serie A,31,28,55.9,38,418,3420,38,66,44,59,7,8,76,4,1.74,1.16,2.89,1.55,2.71,60.7,54.5,42.5,97.1,1.6,1.12,2.72,1.44,2.55
47,Lazio,it Serie A,30,27.9,50.8,38,418,3420,38,54,35,48,6,6,89,4,1.42,0.92,2.34,1.26,2.18,60.4,55.8,44.4,100.2,1.59,1.17,2.76,1.47,2.64
48,Leganés,es La Liga,29,26.6,43.1,38,418,3420,38,36,25,33,3,5,104,4,0.95,0.66,1.61,0.87,1.53,40.6,36.8,28.1,64.9,1.07,0.74,1.81,0.97,1.71
49,Leicester City,eng Premier League,25,25.9,50.9,38,418,3420,38,48,34,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,52.4,47.3,37.6,84.9,1.38,0.99,2.37,1.24,2.23
50,Levante,es La Liga,26,26.3,45.7,38,418,3420,38,56,39,51,5,7,107,7,1.47,1.03,2.5,1.34,2.37,53.9,48.4,38.5,86.9,1.42,1.01,2.43,1.27,2.29
51,Leverkusen,de Bundesliga,21,25.3,59.8,34,374,3060,34,68,51,64,4,5,50,1,2,1.5,3.5,1.88,3.38,58.3,54.4,43.8,98.2,1.71,1.29,3,1.6,2.89
52,Lille,fr Ligue 1,25,24.1,51.4,38,418,3420,38,66,49,55,11,13,70,4,1.74,1.29,3.03,1.45,2.74,59.5,49.3,38.7,87.9,1.56,1.02,2.58,1.3,2.31
53,Liverpool,eng Premier League,23,26.1,61.8,38,418,3420,38,86,55,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,73.7,68.4,49.8,118.2,1.94,1.31,3.25,1.8,3.11
54,Lyon,fr Ligue 1,25,24.4,60.4,38,418,3420,38,70,54,65,5,10,55,3,1.84,1.42,3.26,1.71,3.13,73.7,66.1,49,115,1.94,1.29,3.23,1.74,3.03
55,M'Gladbach,de Bundesliga,22,26.5,53.1,34,374,3060,34,53,43,49,4,7,43,0,1.56,1.26,2.82,1.44,2.71,52.2,46.7,36.7,83.4,1.54,1.08,2.62,1.37,2.45
56,Mainz 05,de Bundesliga,28,24.2,46.1,34,374,3060,34,44,30,41,3,3,56,0,1.29,0.88,2.18,1.21,2.09,51.2,48.8,37.5,86.3,1.51,1.1,2.61,1.44,2.54
57,Manchester City,eng Premier League,21,26.7,67.9,38,418,3420,38,91,71,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18,84.3,81.3,65.5,146.7,2.22,1.72,3.94,2.14,3.86
58,Manchester Utd,eng Premier League,28,26.3,54.7,38,418,3420,38,65,40,56,9,12,75,4,1.71,1.05,2.76,1.47,2.53,61.4,52,39.6,91.6,1.62,1.04,2.66,1.37,2.41
59,Marseille,fr Ligue 1,24,26.9,55.2,38,418,3420,38,59,45,55,4,5,82,8,1.55,1.18,2.74,1.45,2.63,52.7,48.9,38.5,87.4,1.39,1.01,2.4,1.29,2.3
60,Milan,it Serie A,23,24.8,54.1,38,418,3420,38,51,35,48,3,4,80,5,1.34,0.92,2.26,1.26,2.18,48.8,45.7,35.6,81.3,1.28,0.94,2.22,1.2,2.14
61,Monaco,fr Ligue 1,42,25.6,49.8,38,418,3420,38,38,25,34,4,5,91,6,1,0.66,1.66,0.89,1.55,47.4,43.5,31.4,74.9,1.25,0.83,2.07,1.14,1.97
62,Montpellier,fr Ligue 1,25,28,48,38,418,3420,38,50,28,47,3,3,60,4,1.32,0.74,2.05,1.24,1.97,50.1,47.7,35.1,82.8,1.32,0.92,2.24,1.25,2.18
63,Nantes,fr Ligue 1,33,25.9,50.1,38,418,3420,38,46,28,40,6,8,72,6,1.21,0.74,1.95,1.05,1.79,49.1,42.8,30.6,73.3,1.29,0.8,2.1,1.13,1.93
64,Napoli,it Serie A,26,27,59.1,38,418,3420,38,73,54,70,3,4,72,5,1.92,1.42,3.34,1.84,3.26,61.8,58.8,49.4,108.2,1.63,1.3,2.93,1.55,2.85
65,Newcastle Utd,eng Premier League,24,26.9,40.4,38,418,3420,38,41,33,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,39.1,36.7,27.4,64.1,1.03,0.72,1.75,0.97,1.69
66,Nice,fr Ligue 1,30,24.2,54.8,38,418,3420,38,28,18,23,5,9,72,5,0.74,0.47,1.21,0.61,1.08,46.3,39.2,30.8,70.1,1.22,0.81,2.03,1.03,1.84
67,Nîmes,fr Ligue 1,23,24.1,45.7,38,418,3420,38,55,37,51,4,6,69,5,1.45,0.97,2.42,1.34,2.32,50,45.2,34.1,79.4,1.31,0.9,2.21,1.19,2.09
68,Nürnberg,de Bundesliga,27,24.9,42.4,34,374,3060,34,25,16,23,2,6,58,4,0.74,0.47,1.21,0.68,1.15,35.7,30.9,21.1,52,1.05,0.62,1.67,0.91,1.53
69,Paris S-G,fr Ligue 1,30,26.2,63.7,38,418,3420,38,103,72,93,10,12,64,4,2.71,1.89,4.61,2.45,4.34,88.9,79.5,63.1,142.6,2.34,1.66,4,2.09,3.75
70,Parma,it Serie A,31,29.4,37.7,38,418,3420,38,40,22,36,4,5,82,3,1.05,0.58,1.63,0.95,1.53,40.2,36.3,26.9,63.1,1.06,0.71,1.77,0.95,1.66
71,Rayo Vallecano,es La Liga,29,26.6,48.7,38,418,3420,38,40,24,35,5,5,101,8,1.05,0.63,1.68,0.92,1.55,48.7,44.8,33,77.7,1.28,0.87,2.15,1.18,2.05
72,RB Leipzig,de Bundesliga,23,24,49.6,34,374,3060,34,63,41,58,5,7,61,1,1.85,1.21,3.06,1.71,2.91,65.7,60.2,46,106.2,1.93,1.35,3.29,1.77,3.12
73,Real Madrid,es La Liga,27,27.1,60.1,38,418,3420,38,61,39,52,9,9,79,6,1.61,1.03,2.63,1.37,2.39,66.7,60.2,49.9,110.1,1.76,1.31,3.07,1.58,2.9
74,Real Sociedad,es La Liga,30,24.9,51.7,38,418,3420,38,44,27,36,8,10,80,4,1.16,0.71,1.87,0.95,1.66,49.7,42.2,33,75.2,1.31,0.87,2.18,1.11,1.98
75,Reims,fr Ligue 1,27,26.2,43.6,38,418,3420,38,39,27,37,2,2,67,2,1.03,0.71,1.74,0.97,1.68,38.1,36.5,27.7,64.1,1,0.73,1.73,0.96,1.69
76,Rennes,fr Ligue 1,28,25.7,50.6,38,418,3420,38,52,34,45,7,10,68,3,1.37,0.89,2.26,1.18,2.08,55.6,47.8,34.4,82.1,1.46,0.9,2.37,1.26,2.16
77,Roma,it Serie A,26,27.5,51.4,38,418,3420,38,65,41,59,6,6,88,2,1.71,1.08,2.79,1.55,2.63,64.4,59.6,46.2,105.8,1.69,1.22,2.91,1.57,2.78
78,Saint-Étienne,fr Ligue 1,29,27.8,52.5,38,418,3420,38,56,40,51,5,5,63,7,1.47,1.05,2.53,1.34,2.39,56.7,52.7,39.2,91.9,1.49,1.03,2.52,1.39,2.42
79,Sampdoria,it Serie A,24,26.1,54.9,38,418,3420,38,60,41,50,10,12,89,3,1.58,1.08,2.66,1.32,2.39,50.5,41.8,34.1,75.9,1.33,0.9,2.22,1.1,2
80,Sassuolo,it Serie A,29,25.4,53.8,38,418,3420,38,50,33,45,5,5,87,8,1.32,0.87,2.18,1.18,2.05,48.5,44.6,34.1,78.8,1.28,0.9,2.17,1.17,2.07
81,Schalke 04,de Bundesliga,32,25.8,45.4,34,374,3060,34,37,23,30,7,9,72,5,1.09,0.68,1.76,0.88,1.56,45.6,39,29.7,68.7,1.34,0.87,2.21,1.15,2.02
82,Sevilla,es La Liga,27,27.9,52.3,38,418,3420,38,60,47,55,5,6,114,6,1.58,1.24,2.82,1.45,2.68,66.6,61.8,49.3,111.1,1.75,1.3,3.05,1.63,2.92
83,Southampton,eng Premier League,30,25.4,43.4,38,418,3420,38,44,27,40,4,5,73,3,1.16,0.71,1.87,1.05,1.76,46.9,43.4,29.3,72.7,1.23,0.77,2,1.14,1.91
84,SPAL,it Serie A,28,27.8,50.4,38,418,3420,38,44,30,37,7,8,112,3,1.16,0.79,1.95,0.97,1.76,43.9,37.7,28.2,65.8,1.16,0.74,1.9,0.99,1.73
85,Strasbourg,fr Ligue 1,26,26.2,50.1,38,418,3420,38,57,43,52,5,7,70,4,1.5,1.13,2.63,1.37,2.5,41.3,35.8,28.1,63.9,1.09,0.74,1.83,0.94,1.68
86,Stuttgart,de Bundesliga,26,26.3,45.9,34,374,3060,34,32,26,31,1,1,64,5,0.94,0.76,1.71,0.91,1.68,38,37.3,28.2,65.5,1.12,0.83,1.95,1.1,1.93
87,Torino,it Serie A,25,27.6,51.1,38,418,3420,38,50,31,45,5,6,88,4,1.32,0.82,2.13,1.18,2,46.6,41.9,32,73.9,1.23,0.84,2.07,1.1,1.94
88,Tottenham,eng Premier League,28,26.8,59,38,418,3420,38,66,47,62,4,4,57,3,1.74,1.24,2.97,1.63,2.87,54.9,51.8,39.1,90.9,1.44,1.03,2.47,1.36,2.39
89,Toulouse,fr Ligue 1,29,25.5,48.2,38,418,3420,38,35,16,28,7,11,75,5,0.92,0.42,1.34,0.74,1.16,45.7,37.1,29.3,66.4,1.2,0.77,1.97,0.98,1.75
90,Udinese,it Serie A,31,25.3,42.6,38,418,3420,38,37,30,34,3,8,90,4,0.97,0.79,1.76,0.89,1.68,42.5,36,27.9,63.9,1.12,0.73,1.85,0.95,1.68
91,Valencia,es La Liga,25,26.4,47.1,38,418,3420,38,50,38,45,5,7,88,3,1.32,1,2.32,1.18,2.18,60.7,55.2,46.7,101.9,1.6,1.23,2.83,1.45,2.68
92,Valladolid,es La Liga,28,27.4,46.8,38,418,3420,38,31,19,27,4,7,92,0,0.82,0.5,1.32,0.71,1.21,41.1,35.6,26.7,62.3,1.08,0.7,1.78,0.94,1.64
93,Villarreal,es La Liga,26,27.1,48.3,38,418,3420,38,47,34,44,3,6,115,3,1.24,0.89,2.13,1.16,2.05,53.9,50,39,89,1.42,1.03,2.45,1.31,2.34
94,Watford,eng Premier League,25,28.5,46.7,38,418,3420,38,51,39,50,1,1,79,4,1.34,1.03,2.37,1.32,2.34,48.2,47.4,34.8,82.3,1.27,0.92,2.19,1.25,2.17
95,Werder Bremen,de Bundesliga,24,27.1,52.1,34,374,3060,34,57,38,53,4,4,61,3,1.68,1.12,2.79,1.56,2.68,49.8,46.7,33.7,80.3,1.46,0.99,2.45,1.37,2.36
96,West Ham,eng Premier League,26,27.6,48.6,38,418,3420,38,51,33,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,47.6,43.8,34.1,77.9,1.25,0.9,2.15,1.15,2.05
97,Wolfsburg,de Bundesliga,25,25.4,53.3,34,374,3060,34,59,38,54,5,5,62,0,1.74,1.12,2.85,1.59,2.71,47.6,43.8,33,76.9,1.4,0.97,2.37,1.29,2.26
98,Wolves,eng Premier League,21,26.1,46.8,38,418,3420,38,46,35,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03,52.1,49,39.4,88.4,1.37,1.04,2.41,1.29,2.33
