Rk,Squad,Comp,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
74,Reims,fr Ligue 1,29,38,17170,15309,1800,454,11,155,539,758,145,68,64,0,13535,61,229
75,Rennes,fr Ligue 1,32,38,23914,22015,1865,527,22,186,764,804,198,90,91,0,20011,34,305
76,Roma,it Serie A,31,38,20539,18812,1666,548,58,137,678,580,219,91,102,1,16987,61,334
77,Saint-Étienne,fr Ligue 1,40,38,17667,15587,2031,523,12,174,779,949,191,82,83,3,13610,49,338
78,Sampdoria,it Serie A,27,38,17643,15658,1923,609,7,187,787,758,199,65,96,0,13423,62,338
79,Sassuolo,it Serie A,28,38,23660,21905,1698,549,22,110,588,574,208,81,82,0,20368,57,320
80,Schalke 04,de Bundesliga,42,34,14706,12891,1747,486,19,123,425,715,124,46,71,0,11084,68,321
81,Sevilla,es La Liga,26,38,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301
82,Sheffield Utd,eng Premier League,27,38,16264,14542,1649,347,13,115,666,750,170,118,29,4,12146,73,308
83,Southampton,eng Premier League,29,38,19288,17388,1824,496,16,87,554,809,177,82,79,8,14928,76,343
84,Spezia,it Serie A,35,38,19566,17599,1885,677,16,201,602,744,150,9,98,0,15563,82,338
85,Strasbourg,fr Ligue 1,26,38,17175,15254,1882,451,8,265,713,873,165,73,72,0,13120,39,338
86,Stuttgart,de Bundesliga,29,34,17768,15983,1730,474,23,113,539,723,155,59,77,2,14115,55,356
87,Torino,it Serie A,29,38,17163,15195,1909,659,23,210,740,663,171,39,110,0,13369,59,314
88,Tottenham,eng Premier League,24,38,20571,18738,1788,524,28,147,526,750,168,117,37,0,16508,45,361
89,Udinese,it Serie A,33,38,17414,15576,1756,574,21,101,703,651,163,50,83,0,13917,82,307
90,Union Berlin,de Bundesliga,27,34,15951,14267,1600,420,15,97,640,728,140,63,70,2,11859,84,321
91,Valencia,es La Liga,30,38,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297
92,Valladolid,es La Liga,32,38,15385,13372,1938,571,20,193,744,796,145,53,39,1,11145,75,312
93,Villarreal,es La Liga,29,38,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348
94,Werder Bremen,de Bundesliga,27,34,15559,13764,1727,536,11,142,548,706,116,40,61,0,11648,68,298
95,West Brom,eng Premier League,30,38,13978,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275
96,West Ham,eng Premier League,24,38,16901,15140,1687,398,15,109,775,741,167,92,60,1,12725,74,357
97,Wolfsburg,de Bundesliga,26,34,17236,15503,1656,431,20,118,643,759,176,92,48,0,13133,77,348
98,Wolves,eng Premier League,27,38,19225,17437,1751,444,20,141,775,735,208,65,70,3,15548,37,336
