Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
31,Fiorentina,it Serie A,30,38,13430,17136,78.4,246275,88848,5748,6592,87.2,5603,6571,85.3,1668,2930,56.9,31,31.6,28,-0.6,266,1130,245,93,931
32,Freiburg,de Bundesliga,24,34,12177,15960,76.3,235666,88602,4649,5516,84.3,5693,6655,85.5,1571,2930,53.6,34,29.5,26.6,+4.5,286,858,222,85,904
33,Fulham,eng Premier League,28,38,15401,19512,78.9,270640,94394,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,18,26.3,25.3,-8.3,334,1019,290,94,963
34,Genoa,it Serie A,34,38,13954,17948,77.7,246279,89499,6410,7297,87.8,5472,6511,84,1602,3000,53.4,32,26.4,19.4,+5.6,249,920,226,74,859
35,Getafe,es La Liga,31,38,8977,13863,64.8,170990,76315,4043,5155,78.4,3111,4340,71.7,1417,3219,44,14,23.6,24,-9.6,261,863,225,102,775
36,Granada,es La Liga,34,38,9083,13336,68.1,173761,74259,3915,4776,82,3574,4629,77.2,1288,2951,43.6,30,26.8,22.6,+3.2,224,813,173,58,692
37,Hellas Verona,it Serie A,32,38,13180,17797,74.1,236870,87568,5835,6878,84.8,5553,6800,81.7,1439,3002,47.9,30,34,28.3,-4,310,1107,293,68,1096
38,Hertha BSC,de Bundesliga,32,34,12566,16169,77.7,248502,87313,4473,5282,84.7,5998,6958,86.2,1814,3023,60,29,29.1,27.9,-0.1,278,839,224,75,874
39,Hoffenheim,de Bundesliga,30,34,14269,18046,79.1,259701,96648,6008,6880,87.3,6296,7287,86.4,1608,2822,57,38,37.4,37.5,+0.6,328,1113,313,101,1179
40,Huesca,es La Liga,27,38,13507,17480,77.3,250921,87968,5692,6487,87.7,5785,6817,84.9,1679,3200,52.5,23,26.7,25.3,-3.7,295,898,221,113,793
41,Inter,it Serie A,25,38,18384,21624,85,321565,102851,8126,8970,90.6,7965,8842,90.1,1776,2636,67.4,62,52.5,46.5,+9.5,422,1361,395,96,1241
42,Juventus,it Serie A,30,38,19839,23031,86.1,353121,113334,8475,9273,91.4,8934,9758,91.6,1969,2877,68.4,59,55.1,40.5,+3.9,470,1454,356,89,1273
43,Köln,de Bundesliga,28,34,11954,15870,75.3,227260,90850,4798,5675,84.5,5204,6246,83.3,1650,3005,54.9,23,25.5,27.1,-2.5,254,837,214,83,832
44,Lazio,it Serie A,30,38,16972,20795,81.6,304863,108222,7366,8356,88.2,7099,8110,87.5,2007,3161,63.5,40,39.6,34.6,+0.4,391,1479,398,115,1259
45,Leeds United,eng Premier League,23,38,16284,20629,78.9,286488,99271,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,+3.1,394,1110,349,68,1183
46,Leicester City,eng Premier League,27,38,17014,21216,80.2,285395,94092,7893,8978,87.9,7010,8113,86.4,1461,2737,53.4,45,33.7,30.1,+11.3,360,1209,283,57,1061
47,Lens,fr Ligue 1,27,38,15078,18957,79.5,276447,96848,6283,7229,86.9,6713,7778,86.3,1682,2916,57.7,35,37.8,33.3,-2.8,327,1132,264,90,1178
48,Levante,es La Liga,29,38,14190,18116,78.3,257005,95976,6356,7202,88.3,5760,6804,84.7,1694,3076,55.1,35,29.6,30,+5.4,286,1087,306,83,1123
49,Leverkusen,de Bundesliga,30,34,17887,21683,82.5,323019,109011,7511,8391,89.5,7884,8922,88.4,1988,3185,62.4,41,34.7,38,+6.3,351,1252,263,75,1146
50,Lille,fr Ligue 1,21,38,17886,21892,81.7,305333,103866,8342,9348,89.2,7195,8239,87.3,1668,2938,56.8,39,34.4,33.6,+4.6,365,1488,251,58,1212
51,Liverpool,eng Premier League,28,38,21929,26226,83.6,360990,115405,10789,11862,91,8747,9940,88,1715,2969,57.8,43,48.3,45.6,-5.3,455,1608,524,82,1566
52,Lorient,fr Ligue 1,27,38,13171,17085,77.1,232514,87993,6009,6910,87,5392,6409,84.1,1381,2801,49.3,26,30.8,25.8,-4.8,289,910,191,55,876
53,Lyon,fr Ligue 1,29,38,17685,21396,82.7,304190,112755,8261,9252,89.3,7093,8148,87.1,1740,2738,63.6,46,54.9,52.2,-8.9,455,1444,426,77,1518
54,M'Gladbach,de Bundesliga,23,34,15207,18955,80.2,258868,94260,7096,8048,88.2,6254,7326,85.4,1364,2401,56.8,44,37.1,34.4,+6.9,333,974,248,42,1087
55,Mainz 05,de Bundesliga,31,34,9531,13776,69.2,176200,76477,4003,5020,79.7,4037,5275,76.5,1206,2557,47.2,23,34.9,33.7,-11.9,274,781,218,73,814
56,Manchester City,eng Premier League,24,38,23819,27167,87.7,390212,110950,11548,12409,93.1,9673,10628,91,1771,2616,67.7,55,45.4,43.3,+9.6,433,1772,412,41,1401
57,Manchester Utd,eng Premier League,29,38,18802,22626,83.1,310456,100812,9250,10261,90.1,7258,8255,87.9,1597,2585,61.8,51,41.6,38.2,+9.4,414,1419,377,54,1311
58,Marseille,fr Ligue 1,31,38,16481,20532,80.3,280703,101358,7937,8895,89.2,6509,7552,86.2,1511,2858,52.9,45,36.1,33.9,+8.9,299,1196,228,52,1072
59,Metz,fr Ligue 1,27,38,13167,16956,77.7,242610,90622,5653,6462,87.5,5598,6622,84.5,1579,2982,53,28,28.3,23.5,-0.3,316,936,191,70,849
60,Milan,it Serie A,29,38,15889,19459,81.7,275188,97709,7279,8168,89.1,6493,7406,87.7,1617,2709,59.7,47,43.9,40.1,+3.1,408,1250,346,80,1128
61,Monaco,fr Ligue 1,30,38,17738,21991,80.7,318971,108259,7468,8476,88.1,8001,9214,86.8,1824,3175,57.4,52,46.7,46.1,+5.3,370,1347,364,80,1304
62,Montpellier,fr Ligue 1,25,38,12720,16620,76.5,250268,102506,5028,5873,85.6,5302,6391,83,2068,3426,60.4,42,33.8,32.8,+8.2,333,1010,250,121,951
63,Nantes,fr Ligue 1,25,38,12329,16543,74.5,217120,85162,5715,6671,85.7,4967,6140,80.9,1305,2790,46.8,28,29.4,25.9,-1.4,298,1100,176,49,987
64,Napoli,it Serie A,25,38,18892,22210,85.1,319927,104986,9198,10054,91.5,7244,8103,89.4,1879,2799,67.1,56,46.9,38.6,+9.1,479,1325,363,69,1220
65,Newcastle Utd,eng Premier League,27,38,10839,14709,73.7,197161,77098,4828,5635,85.7,4197,5131,81.8,1387,2879,48.2,26,29,21.1,-3,289,739,207,83,663
66,Nice,fr Ligue 1,31,38,18110,21589,83.9,309199,101339,8487,9373,90.5,7619,8561,89,1563,2622,59.6,26,29.9,29.3,-3.9,282,1156,230,59,1071
67,Nîmes,fr Ligue 1,33,38,12696,16714,76,239437,90404,5153,5992,86,5509,6565,83.9,1656,3200,51.8,26,29.9,26.3,-3.9,285,903,199,58,865
68,Osasuna,es La Liga,28,38,10233,15031,68.1,201353,91559,4401,5541,79.4,3869,5149,75.1,1649,3329,49.5,25,24.9,27.9,+0.1,259,968,261,101,879
69,Paris S-G,fr Ligue 1,33,38,22941,26137,87.8,354458,118616,12123,13008,93.2,8404,9299,90.4,1439,2205,65.3,52,55.6,52.9,-3.6,411,1831,427,74,1492
70,Parma,it Serie A,42,38,14837,18427,80.5,288732,105937,5771,6609,87.3,6553,7501,87.4,2179,3355,64.9,26,30.5,26.1,-4.5,286,1074,238,90,974
71,RB Leipzig,de Bundesliga,25,34,17500,21450,81.6,292079,103418,8233,9297,88.6,7169,8272,86.7,1453,2493,58.3,44,43.7,51.9,+0.3,418,1436,367,81,1337
72,Real Madrid,es La Liga,30,38,20652,24119,85.6,352965,111432,9790,10620,92.2,7728,8593,89.9,2214,3224,68.7,53,47.4,48.8,+5.6,438,1525,401,77,1266
73,Real Sociedad,es La Liga,30,38,14915,18995,78.5,264692,91978,6592,7589,86.9,6282,7368,85.3,1582,2840,55.7,39,39.6,39.7,-0.6,308,1100,343,64,1112
74,Reims,fr Ligue 1,29,38,13535,17170,78.8,258466,89986,5325,6112,87.1,6107,7064,86.5,1800,3175,56.7,23,21.7,20.8,+1.3,275,968,210,57,908
75,Rennes,fr Ligue 1,32,38,20011,23914,83.7,351486,119366,9190,10204,90.1,8499,9564,88.9,1926,3135,61.4,39,35.3,40.8,+3.7,376,1556,293,83,1302
76,Roma,it Serie A,31,38,16987,20539,82.7,310430,101216,7120,8036,88.6,7708,8583,89.8,1850,3001,61.6,51,49.9,38.1,+1.1,409,1235,336,70,1225
77,Saint-Étienne,fr Ligue 1,40,38,13610,17667,77,244264,93328,6072,7028,86.4,5532,6606,83.7,1579,2986,52.9,28,31.6,25.9,-3.6,330,934,228,87,853
78,Sampdoria,it Serie A,27,38,13423,17643,76.1,241858,92303,6023,7007,86,5353,6512,82.2,1630,3045,53.5,37,31.9,28.8,+5.1,321,1006,265,76,1019
79,Sassuolo,it Serie A,28,38,20368,23660,86.1,329660,107910,10297,11141,92.4,7918,8787,90.1,1539,2467,62.4,36,34,31,+2.0,381,1539,353,46,1277
80,Schalke 04,de Bundesliga,42,34,11084,14706,75.4,202831,76224,4611,5483,84.1,4847,5750,84.3,1290,2483,52,20,20.6,19.2,-0.6,217,668,182,39,715
81,Sevilla,es La Liga,26,38,19248,22873,84.2,342985,106477,8654,9471,91.4,7775,8720,89.2,2190,3442,63.6,36,41,40.1,-5,387,1234,346,122,1069
82,Sheffield Utd,eng Premier League,27,38,12146,16264,74.7,207510,78610,6006,6905,87,4331,5303,81.7,1277,2840,45,13,24.9,22,-11.9,253,946,253,65,821
83,Southampton,eng Premier League,29,38,14928,19288,77.4,239028,85451,7587,8659,87.6,5629,6690,84.1,1099,2547,43.1,33,25.8,22.2,+7.2,294,894,261,36,919
84,Spezia,it Serie A,35,38,15563,19566,79.5,303340,99214,6095,6927,88,6763,7842,86.2,2379,3847,61.8,37,31.1,27.5,+5.9,289,1132,253,69,979
85,Strasbourg,fr Ligue 1,26,38,13120,17175,76.4,263920,100541,4985,5851,85.2,5680,6733,84.4,2137,3638,58.7,26,32.1,34.7,-6.1,272,1012,253,98,982
86,Stuttgart,de Bundesliga,29,34,14115,17768,79.4,245018,95221,6481,7378,87.8,5864,6865,85.4,1332,2415,55.2,42,37.1,38,+4.9,358,1063,267,53,1159
87,Torino,it Serie A,29,38,13369,17163,77.9,240588,86405,6122,6894,88.8,5209,6234,83.6,1675,3057,54.8,28,32.2,27.7,-4.2,309,958,236,96,778
88,Tottenham,eng Premier League,24,38,16508,20571,80.2,274914,94110,7801,8828,88.4,6561,7603,86.3,1393,2672,52.1,50,35.3,25.3,+14.7,316,1035,257,54,993
89,Udinese,it Serie A,33,38,13917,17414,79.9,242519,89238,6417,7237,88.7,5667,6618,85.6,1389,2492,55.7,30,30,27.7,0,294,1041,270,70,976
90,Union Berlin,de Bundesliga,27,34,11859,15951,74.3,222470,86090,4864,5826,83.5,5148,6256,82.3,1521,2901,52.4,39,33.4,31.3,+5.6,296,835,193,87,814
91,Valencia,es La Liga,30,38,12755,16480,77.4,241622,89243,5332,6142,86.8,5304,6236,85.1,1735,3073,56.5,35,27.3,24.8,+7.7,283,926,239,62,849
92,Valladolid,es La Liga,32,38,11145,15385,72.4,206106,80268,4972,5863,84.8,4299,5283,81.4,1489,3187,46.7,21,24.2,25.7,-3.2,263,873,213,90,786
93,Villarreal,es La Liga,29,38,17508,21129,82.9,305401,104842,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6,33,40.5,40.7,-7.5,317,1175,358,81,1161
94,Werder Bremen,de Bundesliga,27,34,11648,15559,74.9,211793,84074,5201,6190,84,4826,5900,81.8,1349,2551,52.9,25,21.5,24.3,+3.5,252,822,190,81,810
95,West Brom,eng Premier League,30,38,9769,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,721
96,West Ham,eng Premier League,24,38,12725,16901,75.3,225666,88791,5888,6864,85.8,4948,6052,81.8,1470,2860,51.4,46,39.6,31.9,+6.4,340,1037,238,95,850
97,Wolfsburg,de Bundesliga,26,34,13133,17236,76.2,251433,91851,4953,5972,82.9,6223,7378,84.3,1661,2905,57.2,48,37.7,38.8,+10.3,353,1004,282,70,1073
98,Wolves,eng Premier League,27,38,15548,19225,80.9,275061,93014,6990,7796,89.7,6320,7342,86.1,1742,2944,59.2,21,24.1,23.9,-3.1,345,1117,213,85,856
