Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
24,Dijon,fr Ligue 1,28,28,10073,13029,77.3,191350,76241,4221,4899,86.2,4300,5125,83.9,1352,2415,56,17,22.9,18.7,-5.9,243,705,175,52,692
25,Dortmund,de Bundesliga,27,34,20601,24071,85.6,342694,106972,9954,10940,91,8099,8993,90.1,1812,2720,66.6,74,50.6,46.4,+23.4,358,1269,308,41,1248
26,Düsseldorf,de Bundesliga,28,34,11367,15164,75,222976,87534,4518,5356,84.4,4852,5895,82.3,1737,3065,56.7,26,24.2,23.8,+1.8,297,902,213,75,954
27,Eibar,es La Liga,26,38,10439,15551,67.1,207816,83924,4422,5456,81,4008,5354,74.9,1713,3829,44.7,24,26,26.3,-2,292,1007,224,108,847
28,Eint Frankfurt,de Bundesliga,27,34,12302,16602,74.1,230242,95303,5138,6124,83.9,5233,6456,81.1,1567,2924,53.6,45,44.8,45.6,+0.2,374,1052,283,128,1042
29,Espanyol,es La Liga,31,38,11881,16363,72.6,224795,87286,4830,5791,83.4,5174,6369,81.2,1528,3235,47.2,17,27.3,26.7,-10.3,283,962,222,86,904
30,Everton,eng Premier League,24,38,13433,17736,75.7,248821,94797,5670,6722,84.3,5545,6642,83.5,1728,3126,55.3,32,38.1,31.5,-6.1,340,987,288,93,1023
31,Fiorentina,it Serie A,33,38,13589,17172,79.1,245422,91395,5835,6615,88.2,5843,6843,85.4,1535,2737,56.1,30,34.5,32.9,-4.5,420,1124,298,81,1077
32,Freiburg,de Bundesliga,26,34,12085,15762,76.7,233308,88480,4600,5443,84.5,5555,6461,86,1586,2893,54.8,27,33,31.3,-6,323,825,226,95,831
33,Genoa,it Serie A,34,38,14305,18157,78.8,249032,93022,6586,7416,88.8,5724,6778,84.4,1490,2775,53.7,28,27.6,26.7,+0.4,301,937,292,103,946
34,Getafe,es La Liga,30,38,8319,13715,60.7,165205,78281,3535,4713,75,2977,4408,67.5,1466,3508,41.8,31,27.9,26.6,+3.1,284,970,275,130,884
35,Granada,es La Liga,27,38,9810,14105,69.5,190418,79655,3970,4840,82,3979,5089,78.2,1486,3136,47.4,34,30.5,26.2,+3.5,275,822,176,69,725
36,Hellas Verona,it Serie A,30,38,13348,17641,75.7,234676,89123,5993,6965,86,5423,6571,82.5,1411,2861,49.3,27,34.5,29.7,-7.5,332,1084,319,70,1136
37,Hertha BSC,de Bundesliga,32,34,11361,14961,75.9,224357,85892,4388,5188,84.6,4939,5960,82.9,1735,2940,59,35,32.7,29,+2.3,270,768,185,69,822
38,Hoffenheim,de Bundesliga,31,34,14392,17932,80.3,255561,95532,6337,7147,88.7,6193,7124,86.9,1471,2658,55.3,36,40.2,34.2,-4.2,345,925,256,75,974
39,Inter,it Serie A,29,38,17232,20842,82.7,312663,106556,7232,8059,89.7,7508,8587,87.4,1989,2948,67.5,57,44,41.2,+13.0,449,1301,400,98,1364
40,Juventus,it Serie A,30,38,20149,23408,86.1,332904,110619,9684,10473,92.5,7782,8664,89.8,1816,2715,66.9,47,45.5,38,+1.5,501,1629,336,70,1285
41,Köln,de Bundesliga,29,34,11195,15108,74.1,219640,90475,4315,5172,83.4,4871,5973,81.6,1721,3025,56.9,38,35.6,33.3,+2.4,309,806,249,96,903
42,Lazio,it Serie A,27,38,15875,19415,81.8,281345,100800,7130,8009,89,6201,7132,86.9,1924,2976,64.7,45,42.5,35.9,+2.5,434,1334,393,103,1251
43,Lecce,it Serie A,30,38,13640,17104,79.7,254310,95364,5858,6659,88,5711,6658,85.8,1798,2926,61.4,30,32.6,30.1,-2.6,387,925,331,131,994
44,Leganés,es La Liga,29,38,10336,14838,69.7,189358,81022,4801,5718,84,3782,4953,76.4,1390,3161,44,19,27.7,25.4,-8.7,292,890,223,95,828
45,Leicester City,eng Premier League,24,38,17600,21800,80.7,304570,102448,8018,9017,88.9,7415,8600,86.2,1655,2913,56.8,48,44.9,35.3,+3.1,405,1283,313,72,1180
46,Levante,es La Liga,29,38,12415,16332,76,226838,91964,5677,6494,87.4,4771,5765,82.8,1611,3073,52.4,28,36.3,27.2,-8.3,326,983,253,75,1003
47,Leverkusen,de Bundesliga,24,34,19042,22954,83,331204,109531,8525,9522,89.5,7998,8988,89,1891,3030,62.4,48,48.6,44.9,-0.6,394,1106,253,55,1125
48,Lille,fr Ligue 1,25,28,11263,14278,78.9,195316,68951,4937,5631,87.7,4595,5338,86.1,1168,2167,53.9,25,24.5,22.4,+0.5,255,867,178,50,811
49,Liverpool,eng Premier League,24,38,21276,25891,82.2,370797,117123,9557,10648,89.8,9007,10345,87.1,2038,3458,58.9,69,53,46.8,+16.0,454,1630,477,93,1443
50,Lyon,fr Ligue 1,27,28,13273,15983,83,233751,78097,5867,6557,89.5,5651,6417,88.1,1367,2144,63.8,29,25.2,24,+3.8,269,880,203,56,890
51,M'Gladbach,de Bundesliga,25,34,14321,17974,79.7,253262,94668,6206,7130,87,6115,7119,85.9,1530,2580,59.3,53,53.6,44.7,-0.6,353,940,277,55,1045
52,Mainz 05,de Bundesliga,25,34,10245,13997,73.2,190213,79209,4413,5233,84.3,4136,5160,80.2,1356,2664,50.9,34,37.4,32.8,-3.4,340,809,230,65,894
53,Mallorca,es La Liga,32,38,11782,15636,75.4,202286,85060,5648,6558,86.1,4220,5197,81.2,1275,2576,49.5,21,25.4,26.6,-4.4,309,831,211,73,798
54,Manchester City,eng Premier League,24,38,24557,28190,87.1,410039,117432,11773,12714,92.6,9821,10885,90.2,2121,2963,71.6,69,68.4,62.7,+0.6,582,1819,553,89,1627
55,Manchester Utd,eng Premier League,29,38,17744,21725,81.7,294732,95203,8697,9751,89.2,6891,7957,86.6,1555,2646,58.8,43,38.5,36.2,+4.5,402,1350,341,50,1256
56,Marseille,fr Ligue 1,23,28,11918,14767,80.7,199105,68033,5862,6565,89.3,4311,5070,85,1219,2111,57.7,28,25.8,21.2,+2.2,283,791,177,47,752
57,Metz,fr Ligue 1,24,28,9568,12493,76.6,169420,63861,4411,5019,87.9,3816,4595,83,1042,2149,48.5,20,18,16.6,+2.0,226,645,129,40,598
58,Milan,it Serie A,32,38,17070,20701,82.5,294450,103340,8007,8954,89.4,6904,7872,87.7,1657,2775,59.7,38,46,38.9,-8,476,1346,377,83,1271
59,Monaco,fr Ligue 1,28,28,11667,14506,80.4,203445,75912,5366,6111,87.8,4871,5650,86.2,1134,1960,57.9,29,33.1,29.9,-4.1,280,918,231,52,969
60,Montpellier,fr Ligue 1,27,28,9713,12825,75.7,189302,79566,3990,4707,84.8,4043,4848,83.4,1505,2568,58.6,19,23.2,20.7,-4.2,245,871,178,62,838
61,Nantes,fr Ligue 1,29,28,10578,13673,77.4,182042,68395,5094,5897,86.4,4189,5013,83.6,1016,2038,49.9,16,23.6,22.3,-7.6,256,766,151,38,728
62,Napoli,it Serie A,25,38,21173,24596,86.1,336876,107524,11037,11917,92.6,7649,8622,88.7,1658,2522,65.7,45,46.8,40.7,-1.8,543,1566,414,86,1375
63,Newcastle Utd,eng Premier League,28,38,10606,14566,72.8,189511,75566,4963,5792,85.7,3781,4800,78.8,1351,2818,47.9,29,26.9,19.1,+2.1,299,685,181,62,617
64,Nice,fr Ligue 1,31,28,13394,15644,85.6,234661,78151,5945,6511,91.3,6148,6752,91.1,1083,1790,60.5,30,24.9,20.6,+5.1,243,836,165,41,877
65,Nîmes,fr Ligue 1,28,28,8100,11253,72,150389,62459,3604,4384,82.2,3332,4150,80.3,1004,2093,48,20,22.2,19.8,-2.2,244,699,164,58,689
66,Norwich City,eng Premier League,30,38,14965,18869,79.3,243176,86309,7717,8664,89.1,5301,6196,85.6,1336,2696,49.6,18,27.4,23.6,-9.4,304,913,210,32,863
67,Osasuna,es La Liga,31,38,10959,15904,68.9,208476,88806,4772,5858,81.5,4189,5547,75.5,1654,3435,48.2,26,34.4,29.5,-8.4,341,946,267,94,990
68,Paderborn 07,de Bundesliga,27,34,11502,15172,75.8,215741,84034,4614,5427,85,4945,5926,83.4,1562,2706,57.7,26,26.8,22.4,-0.8,305,752,139,46,772
69,Paris S-G,fr Ligue 1,31,27,16726,19009,88,265322,86292,8660,9279,93.3,6218,6843,90.9,1201,1715,70,51,54.4,49.3,-3.4,331,1195,379,54,1244
70,Parma,it Serie A,25,38,12193,15756,77.4,236592,93214,4947,5720,86.5,4989,5959,83.7,1912,3155,60.6,38,33.9,23.5,+4.1,339,881,230,56,916
71,RB Leipzig,de Bundesliga,29,34,16241,20063,81,269436,99738,7531,8560,88,6424,7396,86.9,1421,2450,58,58,54.4,51.1,+3.6,428,1263,339,67,1340
72,Real Madrid,es La Liga,26,38,20107,23733,84.7,352395,113610,9829,10697,91.9,7274,8243,88.2,2405,3556,67.6,52,49.9,47.3,+2.1,438,1548,400,100,1307
73,Real Sociedad,es La Liga,27,38,15989,20229,79,284543,99304,6898,7968,86.6,7100,8250,86.1,1568,2851,55,38,35.4,34.4,+2.6,323,1136,327,86,1137
74,Reims,fr Ligue 1,26,28,10325,13260,77.9,196917,68147,4193,4859,86.3,4611,5416,85.1,1355,2389,56.7,16,22.1,17.1,-6.1,249,721,176,50,756
75,Rennes,fr Ligue 1,26,28,10388,13199,78.7,190846,70229,4476,5169,86.6,4433,5163,85.9,1227,2150,57.1,26,25.6,20.8,+0.4,241,708,163,58,679
76,Roma,it Serie A,31,38,15972,19325,82.6,301749,102778,6509,7265,89.6,7241,8199,88.3,2006,3078,65.2,47,48.6,41.8,-1.6,477,1236,344,79,1172
77,Saint-Étienne,fr Ligue 1,31,28,10048,13149,76.4,179624,66015,4427,5195,85.2,4198,5013,83.7,1101,2146,51.3,20,20.2,16.6,-0.2,219,687,145,43,740
78,Sampdoria,it Serie A,31,38,11918,15949,74.7,214283,86550,5325,6195,86,4861,6016,80.8,1364,2726,50,25,30.8,27.2,-5.8,400,1004,300,114,1006
79,Sassuolo,it Serie A,31,38,18601,21873,85,298108,98298,9815,10667,92,7058,7896,89.4,1294,2223,58.2,49,39.2,31.7,+9.8,423,1274,294,35,1128
80,Schalke 04,de Bundesliga,29,34,12014,15752,76.3,219684,81551,5052,5932,85.2,5073,6019,84.3,1474,2721,54.2,25,25.5,25.8,-0.5,274,835,212,36,917
81,Sevilla,es La Liga,26,38,17525,21733,80.6,319775,106264,7645,8604,88.9,7011,8197,85.5,2222,3526,63,35,38.4,39.4,-3.4,359,1272,343,110,1175
82,Sheffield Utd,eng Premier League,26,38,12125,16858,71.9,222335,83887,5714,6687,85.4,4480,5657,79.2,1579,3404,46.4,25,34,29.7,-9,269,1053,282,97,903
83,Southampton,eng Premier League,25,38,12488,17468,71.5,218809,83466,5869,7035,83.4,5027,6478,77.6,1240,2921,42.5,32,36.4,28.7,-4.4,340,1019,282,70,1024
84,SPAL,it Serie A,34,38,13281,16878,78.7,236868,94094,6176,6950,88.9,5308,6326,83.9,1489,2773,53.7,17,26.5,24.4,-9.5,347,1060,222,65,933
85,Strasbourg,fr Ligue 1,25,27,10044,12842,78.2,195373,69943,3908,4556,85.8,4143,4872,85,1597,2582,61.9,21,22.9,20.6,-1.9,246,733,198,75,749
86,Torino,it Serie A,27,38,12572,16330,77,234941,88711,5436,6295,86.4,5089,6068,83.9,1728,3026,57.1,29,30.3,26.4,-1.3,338,852,297,135,842
87,Tottenham,eng Premier League,29,38,16101,20296,79.3,268557,90628,7859,8877,88.5,6303,7463,84.5,1350,2655,50.8,39,32.6,28.2,+6.4,339,1077,283,47,1061
88,Toulouse,fr Ligue 1,30,28,9333,12290,75.9,159454,65763,4710,5440,86.6,3342,4089,81.7,997,2067,48.2,14,19.6,20.7,-5.6,230,655,165,57,650
89,Udinese,it Serie A,25,38,13373,16971,78.8,235092,90319,6100,6891,88.5,5340,6354,84,1478,2657,55.6,26,33.5,25.9,-7.5,362,937,276,99,962
90,Union Berlin,de Bundesliga,26,34,9451,13664,69.2,179191,83697,3969,4928,80.5,3643,4732,77,1395,2884,48.4,27,28,28.6,-1,278,776,182,78,718
91,Valencia,es La Liga,28,38,14490,18258,79.4,261347,90948,6320,7145,88.5,5926,6878,86.2,1705,3096,55.1,34,31.7,29.7,+2.3,253,974,273,59,999
92,Valladolid,es La Liga,30,38,11187,15457,72.4,210277,81914,4901,5779,84.8,4401,5426,81.1,1531,3230,47.4,19,24,20.5,-5,254,841,155,57,740
93,Villarreal,es La Liga,25,38,16218,20045,80.9,294996,98849,7011,7907,88.7,6626,7599,87.2,2025,3322,61,40,43.1,37.4,-3.1,368,1112,276,75,1039
94,Watford,eng Premier League,26,38,11230,15775,71.2,192765,78771,5578,6640,84,3901,5075,76.9,1244,2868,43.4,21,31.4,27.6,-10.4,303,848,253,69,834
95,Werder Bremen,de Bundesliga,30,34,12893,16729,77.1,229583,88251,5787,6722,86.1,5333,6410,83.2,1401,2555,54.8,30,25.8,30,+4.2,320,923,237,67,1024
96,West Ham,eng Premier League,29,38,12451,16861,73.8,221660,89417,6048,7124,84.9,4538,5680,79.9,1515,2997,50.6,36,36.7,33.4,-0.7,328,1083,244,80,954
97,Wolfsburg,de Bundesliga,26,34,11610,15677,74.1,222405,87949,4532,5502,82.4,5009,6105,82,1663,2975,55.9,33,37.9,35.4,-4.9,347,884,238,67,995
98,Wolves,eng Premier League,21,38,14298,18474,77.4,266628,97031,5979,6942,86.1,5777,6928,83.4,1985,3308,60,34,37.5,30,-3.5,339,1015,223,83,959
