Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
42,Juventus,it Serie A,30,38,566,323,244,242,80,243,612,39.7,369,390,114,276,458,1024,581,14
43,Köln,de Bundesliga,28,34,586,328,299,234,53,248,546,45.4,298,382,101,281,429,1015,670,8
44,Lazio,it Serie A,30,38,595,346,284,244,67,254,678,37.5,424,404,92,312,445,1040,649,7
45,Leeds United,eng Premier League,23,38,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26
46,Leicester City,eng Premier League,27,38,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9
47,Lens,fr Ligue 1,27,38,601,358,264,253,84,237,533,44.5,296,375,92,283,508,1109,690,12
48,Levante,es La Liga,29,38,511,282,268,188,55,208,543,38.3,335,335,93,242,435,946,681,15
49,Leverkusen,de Bundesliga,30,34,500,282,209,238,53,213,498,42.8,285,368,87,281,322,822,481,10
50,Lille,fr Ligue 1,21,38,653,370,273,288,92,305,707,43.1,402,339,90,249,424,1077,590,6
51,Liverpool,eng Premier League,28,38,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20
52,Lorient,fr Ligue 1,27,38,722,424,353,303,66,333,812,41,479,422,114,308,527,1249,670,11
53,Lyon,fr Ligue 1,29,38,584,346,251,249,84,264,639,41.3,375,366,115,251,408,992,594,14
54,M'Gladbach,de Bundesliga,23,34,503,307,221,221,61,215,531,40.5,316,424,116,308,436,939,616,6
55,Mainz 05,de Bundesliga,31,34,593,364,266,239,88,258,574,44.9,316,419,109,310,500,1093,662,6
56,Manchester City,eng Premier League,24,38,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11
57,Manchester Utd,eng Premier League,29,38,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20
58,Marseille,fr Ligue 1,31,38,655,391,266,302,87,313,667,46.9,354,365,105,260,442,1097,710,12
59,Metz,fr Ligue 1,27,38,685,417,368,252,65,305,675,45.2,370,394,116,278,572,1257,745,9
60,Milan,it Serie A,29,38,627,357,299,257,71,276,605,45.6,329,435,133,302,382,1009,732,13
61,Monaco,fr Ligue 1,30,38,733,432,296,346,91,332,696,47.7,364,356,66,290,436,1169,513,15
62,Montpellier,fr Ligue 1,25,38,529,334,301,183,45,284,707,40.2,423,372,150,222,420,949,705,14
63,Nantes,fr Ligue 1,25,38,697,385,357,270,70,369,778,47.4,409,391,107,284,464,1161,707,6
64,Napoli,it Serie A,25,38,574,345,280,213,81,257,635,40.5,378,381,98,283,369,943,532,17
65,Newcastle Utd,eng Premier League,27,38,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10
66,Nice,fr Ligue 1,31,38,599,364,281,243,75,256,628,40.8,372,355,123,232,435,1034,644,15
67,Nîmes,fr Ligue 1,33,38,625,372,301,244,80,310,709,43.7,399,407,122,285,501,1126,710,17
68,Osasuna,es La Liga,28,38,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7
69,Paris S-G,fr Ligue 1,33,38,609,385,217,278,114,293,700,41.9,407,327,81,246,373,982,448,22
70,Parma,it Serie A,42,38,585,317,317,215,53,269,695,38.7,426,412,116,296,463,1048,806,14
71,RB Leipzig,de Bundesliga,25,34,460,305,167,229,64,190,460,41.3,270,336,63,273,353,813,504,5
72,Real Madrid,es La Liga,30,38,531,318,266,188,77,192,532,36.1,340,344,83,261,398,929,544,12
73,Real Sociedad,es La Liga,30,38,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5
74,Reims,fr Ligue 1,29,38,656,372,336,242,78,276,645,42.8,369,335,121,214,487,1143,762,18
75,Rennes,fr Ligue 1,32,38,587,337,242,254,91,234,564,41.5,330,347,74,273,361,948,510,12
76,Roma,it Serie A,31,38,490,272,194,228,68,211,598,35.3,387,371,85,286,489,979,531,27
77,Saint-Étienne,fr Ligue 1,40,38,716,428,394,253,69,326,700,46.6,374,374,88,286,471,1187,665,10
78,Sampdoria,it Serie A,27,38,576,326,275,235,66,251,634,39.6,383,470,154,316,453,1029,745,6
79,Sassuolo,it Serie A,28,38,528,310,276,164,88,241,543,44.4,302,383,141,242,426,954,629,11
80,Schalke 04,de Bundesliga,42,34,552,337,283,224,45,203,546,37.2,343,437,143,294,411,963,693,12
81,Sevilla,es La Liga,26,38,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10
82,Sheffield Utd,eng Premier League,27,38,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19
83,Southampton,eng Premier League,29,38,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10
84,Spezia,it Serie A,35,38,568,320,264,223,81,265,617,42.9,352,364,101,263,394,962,551,12
85,Strasbourg,fr Ligue 1,26,38,633,396,313,247,73,280,615,45.5,335,303,77,226,521,1154,641,11
86,Stuttgart,de Bundesliga,29,34,496,294,227,201,68,235,531,44.3,296,379,108,271,426,922,654,8
87,Torino,it Serie A,29,38,530,306,241,205,84,247,569,43.4,322,412,127,285,444,974,727,13
88,Tottenham,eng Premier League,24,38,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15
89,Udinese,it Serie A,33,38,502,294,264,199,39,209,547,38.2,338,428,131,297,440,942,683,8
90,Union Berlin,de Bundesliga,27,34,503,283,240,218,45,232,501,46.3,269,367,85,282,405,908,605,9
91,Valencia,es La Liga,30,38,463,277,241,163,59,198,592,33.4,394,372,123,249,392,855,785,12
92,Valladolid,es La Liga,32,38,559,321,285,208,66,247,681,36.3,434,379,102,277,431,990,812,9
93,Villarreal,es La Liga,29,38,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17
94,Werder Bremen,de Bundesliga,27,34,542,333,270,217,55,228,556,41,328,368,101,267,407,949,798,10
95,West Brom,eng Premier League,30,38,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13
96,West Ham,eng Premier League,24,38,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11
97,Wolfsburg,de Bundesliga,26,34,594,363,271,256,67,271,599,45.2,328,465,79,386,477,1071,700,6
98,Wolves,eng Premier League,27,38,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15
