Rk,Squad,Comp,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
36,Genoa,it Serie A,31,38,15427,13430,1932,543,27,100,797,775,186,48,113,0,11171,65,320
37,Getafe,es La Liga,26,38,13021,10784,2135,621,39,264,638,1001,158,34,64,8,8108,102,408
38,Girona,es La Liga,26,38,17212,15241,1911,589,39,206,743,767,136,60,59,0,13136,60,314
39,Guingamp,fr Ligue 1,30,38,15728,13649,2025,505,15,140,809,916,194,111,57,4,11355,54,348
40,Hannover 96,de Bundesliga,32,34,15117,13278,1781,481,12,93,522,743,143,57,81,2,11348,58,357
41,Hertha BSC,de Bundesliga,26,34,16140,14358,1707,447,25,131,554,714,146,34,98,1,12348,75,325
42,Hoffenheim,de Bundesliga,29,34,18031,16338,1627,413,32,113,667,695,182,76,84,0,14436,66,378
43,Huddersfield,eng Premier League,31,38,17777,15783,1931,444,22,130,768,930,162,80,55,11,13045,63,418
44,Huesca,es La Liga,30,38,14891,12867,1930,538,33,161,771,811,168,86,55,5,10586,94,344
45,Inter,it Serie A,23,38,23425,21373,1988,551,50,228,1092,801,301,126,97,2,19523,64,394
46,Juventus,it Serie A,31,38,21878,20038,1765,494,52,322,867,672,244,88,86,3,18333,75,351
47,Lazio,it Serie A,30,38,19752,17919,1736,429,51,167,738,723,226,76,113,2,15807,97,372
48,Leganés,es La Liga,29,38,15210,13274,1861,458,19,174,744,876,139,40,81,2,10733,75,307
49,Leicester City,eng Premier League,25,38,19068,17065,1931,453,88,186,779,872,210,82,86,14,14640,72,395
50,Levante,es La Liga,26,38,14765,12715,1965,537,36,183,674,730,201,117,53,4,10824,85,368
51,Leverkusen,de Bundesliga,21,34,22081,20354,1662,453,30,169,633,728,189,94,78,1,18245,65,429
52,Lille,fr Ligue 1,25,38,18325,16325,1961,579,76,118,575,872,164,57,90,2,14521,39,329
53,Liverpool,eng Premier League,23,38,25571,23583,1911,463,98,185,721,923,249,82,102,5,21146,77,394
54,Lyon,fr Ligue 1,25,38,22585,20651,1840,482,92,136,684,767,227,113,62,4,19007,94,351
55,M'Gladbach,de Bundesliga,22,34,19093,17411,1612,421,27,174,565,666,189,67,91,2,15736,70,329
56,Mainz 05,de Bundesliga,28,34,15327,13529,1715,412,42,164,646,770,150,45,92,5,11451,83,341
57,Manchester City,eng Premier League,21,38,28389,26660,1631,344,112,226,783,739,298,85,121,1,24678,98,384
58,Manchester Utd,eng Premier League,28,38,20942,18934,1918,435,63,207,638,859,200,78,70,20,16834,90,373
59,Marseille,fr Ligue 1,24,38,19944,17923,1975,516,69,127,827,897,225,97,92,3,15952,46,334
60,Milan,it Serie A,23,38,21047,19053,1931,534,32,233,752,769,230,112,46,1,17537,63,345
61,Monaco,fr Ligue 1,42,38,18035,15923,2057,570,50,153,748,916,195,90,73,1,14098,55,371
62,Montpellier,fr Ligue 1,25,38,17733,15701,1974,525,23,208,749,908,171,70,82,1,13573,58,373
63,Nantes,fr Ligue 1,33,38,17765,15636,2052,540,26,151,725,931,182,89,61,1,13321,77,381
64,Napoli,it Serie A,26,38,24763,22856,1822,484,59,233,774,733,255,95,91,2,21096,85,383
65,Newcastle Utd,eng Premier League,24,38,15231,13359,1813,389,50,217,711,835,181,73,71,11,10774,59,353
66,Nice,fr Ligue 1,30,38,21274,19383,1851,590,30,173,495,692,172,61,83,1,18039,40,312
67,Nîmes,fr Ligue 1,23,38,15574,13382,2152,555,33,145,736,1009,202,78,105,7,11364,40,343
68,Nürnberg,de Bundesliga,27,34,14199,12455,1691,418,20,130,495,686,151,50,84,5,10558,53,303
69,Paris S-G,fr Ligue 1,30,38,25100,23350,1658,469,186,151,588,633,237,112,42,11,21887,92,300
70,Parma,it Serie A,31,38,13707,11696,1920,464,27,122,511,731,144,80,46,1,9920,91,345
71,Rayo Vallecano,es La Liga,29,38,16307,14257,1979,588,39,207,783,794,186,84,73,3,12469,71,362
72,RB Leipzig,de Bundesliga,23,34,16841,14905,1849,515,54,78,616,852,190,59,101,0,12448,87,409
73,Real Madrid,es La Liga,27,38,24198,22147,1939,625,57,410,762,754,221,49,93,1,20625,112,390
74,Real Sociedad,es La Liga,30,38,18547,16447,2008,604,61,199,627,848,178,78,71,5,14565,92,381
75,Reims,fr Ligue 1,27,38,15680,13708,1893,510,48,178,633,848,164,93,47,6,11567,79,327
76,Rennes,fr Ligue 1,28,38,17863,15889,1913,482,44,179,663,861,191,114,42,2,14148,61,341
77,Roma,it Serie A,26,38,19082,17109,1923,521,45,210,855,783,228,74,105,1,15305,50,332
78,Saint-Étienne,fr Ligue 1,29,38,19106,17039,2007,524,44,178,770,857,224,72,108,4,15061,60,342
79,Sampdoria,it Serie A,24,38,21032,19073,1889,625,44,123,641,696,168,94,45,0,17067,70,405
80,Sassuolo,it Serie A,29,38,20009,17981,1955,621,50,143,660,737,185,62,112,3,16386,73,381
81,Schalke 04,de Bundesliga,32,34,14474,12723,1672,442,24,101,521,734,155,24,128,1,10812,79,315
82,Sevilla,es La Liga,27,38,18806,16760,1935,559,50,219,812,775,223,68,77,18,14555,111,427
83,Southampton,eng Premier League,30,38,15930,14072,1797,409,35,139,666,805,193,97,63,22,11463,61,349
84,SPAL,it Serie A,28,38,17829,15788,2004,666,7,122,863,713,196,85,78,1,14255,37,397
85,Strasbourg,fr Ligue 1,26,38,18749,16765,1941,458,31,332,719,898,157,71,59,2,14722,43,381
86,Stuttgart,de Bundesliga,26,34,15209,13362,1780,475,18,117,727,727,169,64,91,0,11198,67,346
87,Torino,it Serie A,25,38,17064,14979,2010,621,25,187,751,803,182,59,37,3,12851,75,385
88,Tottenham,eng Premier League,28,38,23056,21115,1867,457,87,136,643,851,194,54,81,5,18808,74,445
89,Toulouse,fr Ligue 1,29,38,16989,14931,1989,531,43,110,629,822,158,61,79,4,12893,69,333
90,Udinese,it Serie A,31,38,15218,13255,1897,511,25,153,585,725,164,55,66,1,11520,66,319
91,Valencia,es La Liga,25,38,17639,15690,1874,579,47,218,715,722,196,61,86,14,13679,75,372
92,Valladolid,es La Liga,28,38,16279,14209,1974,592,21,204,804,745,201,69,70,6,12015,96,364
93,Villarreal,es La Liga,26,38,17648,15718,1835,509,48,183,618,765,168,75,64,4,13758,95,343
94,Watford,eng Premier League,25,38,16974,15065,1820,483,32,117,570,755,177,84,55,0,12550,89,348
95,Werder Bremen,de Bundesliga,24,34,18331,16553,1738,449,31,129,676,729,168,91,66,0,14383,40,410
96,West Ham,eng Premier League,26,38,18038,16053,1914,501,75,161,631,824,188,86,82,4,13847,71,416
97,Wolfsburg,de Bundesliga,25,34,17159,15333,1759,482,30,250,682,744,175,65,64,5,13184,67,382
98,Wolves,eng Premier League,21,38,18261,16415,1773,361,51,194,622,843,195,63,87,3,13961,73,394
