Rk,Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
82,SPAL,it Serie A,29,38,37,368,109,29.6,9.68,2.87,0.09,0.29,19.6,24,5,6,35.8,31.1,0.09,+1.2,+0.9
83,Stoke City,eng Premier League,30,38,34,380,122,32.1,10,3.21,0.09,0.28,18.1,11,0,3,36.5,34.1,0.09,-2.5,-0.1
84,Strasbourg,fr Ligue 1,25,38,43,445,121,27.2,11.71,3.18,0.08,0.3,19.2,21,7,7,45.5,40,0.09,-2.5,-4
85,Stuttgart,de Bundesliga,26,34,35,362,119,32.9,10.65,3.5,0.09,0.29,18.5,17,1,3,40.3,38,0.11,-5.3,-4
86,Swansea City,eng Premier League,26,38,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,15,1,1,31.6,30.8,0.1,-4.6,-4.8
87,Torino,it Serie A,27,38,53,449,151,33.6,11.82,3.97,0.12,0.35,17.8,21,0,2,46,44.4,0.1,+7.0,+8.6
88,Tottenham,eng Premier League,25,38,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,2,3,64.7,62.3,0.1,+5.3,+5.7
89,Toulouse,fr Ligue 1,25,38,35,421,132,31.4,11.08,3.47,0.06,0.2,18.9,26,8,11,45.5,37,0.09,-10.5,-10
90,Troyes,fr Ligue 1,25,38,30,358,118,33,9.42,3.11,0.08,0.24,18.7,16,2,3,38,35.7,0.1,-8,-7.7
91,Udinese,it Serie A,27,38,45,436,131,30,11.47,3.45,0.09,0.29,19.1,14,7,7,43.2,37.7,0.09,+1.8,+0.3
92,Valencia,es La Liga,25,38,63,473,175,37,12.45,4.61,0.12,0.31,18.7,26,8,8,56,49.8,0.11,+7.0,+5.2
93,Villarreal,es La Liga,32,38,56,470,162,34.5,12.37,4.26,0.11,0.32,19.3,15,4,5,53.2,49.3,0.11,+2.8,+2.7
94,Watford,eng Premier League,29,38,42,434,126,29,11.42,3.32,0.09,0.31,17.9,10,3,6,45,40.2,0.09,-3,-1.2
95,Werder Bremen,de Bundesliga,25,34,34,437,144,33,12.85,4.24,0.08,0.24,18.1,22,0,0,38.9,38.9,0.09,-4.9,-4.9
96,West Brom,eng Premier League,24,38,31,377,111,29.4,9.92,2.92,0.08,0.27,17.7,15,1,1,36.5,35.7,0.1,-5.5,-5.7
97,West Ham,eng Premier League,27,38,48,368,127,34.5,9.68,3.34,0.13,0.36,18.2,17,2,4,36.7,33.6,0.09,+11.3,+12.4
98,Wolfsburg,de Bundesliga,29,34,36,347,113,32.6,10.21,3.32,0.1,0.31,19.7,23,1,6,34.2,29.7,0.09,+1.8,+5.3
