Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Monaco,fr Ligue 1,27.00,38.00,62.00,445.00,153.00,34.40,11.71,4.03,0.12,0.35,17.30,17.00,9.00,9.00,66.10,59.00,0.13,-4.10,-6.00
Montpellier,fr Ligue 1,26.00,38.00,48.00,433.00,151.00,34.90,11.39,3.97,0.10,0.30,19.60,38.00,3.00,4.00,45.70,42.60,0.10,2.30,2.40
Nantes,fr Ligue 1,26.00,38.00,53.00,420.00,145.00,34.50,11.05,3.82,0.11,0.33,17.20,13.00,5.00,5.00,50.90,47.00,0.11,2.10,1.00
Napoli,it Serie A,27.00,38.00,74.00,565.00,186.00,32.90,14.87,4.89,0.11,0.34,18.20,25.00,10.00,14.00,66.30,55.90,0.10,7.70,8.10
Newcastle Utd,eng Premier League,29.00,38.00,41.00,446.00,142.00,31.80,11.74,3.74,0.09,0.27,18.10,15.00,3.00,3.00,44.40,42.10,0.10,-3.40,-4.10
Nice,fr Ligue 1,27.00,38.00,52.00,442.00,144.00,32.60,11.63,3.79,0.10,0.31,16.90,12.00,8.00,10.00,60.70,53.80,0.12,-8.70,-9.80
Norwich City,eng Premier League,28.00,38.00,21.00,370.00,104.00,28.10,9.74,2.74,0.05,0.17,19.00,18.00,3.00,3.00,35.70,33.30,0.09,-14.70,-15.30
Osasuna,es La Liga,29.00,38.00,37.00,425.00,114.00,26.80,11.18,3.00,0.07,0.27,19.60,11.00,6.00,8.00,40.30,34.90,0.08,-3.30,-3.90
Paris S-G,fr Ligue 1,36.00,38.00,88.00,555.00,202.00,36.40,14.61,5.32,0.15,0.40,17.30,29.00,7.00,8.00,84.50,79.10,0.15,3.50,1.90
Rayo Vallecano,es La Liga,28.00,38.00,38.00,500.00,133.00,26.60,13.16,3.50,0.07,0.26,18.50,27.00,4.00,4.00,50.20,47.00,0.10,-12.20,-13.00
RB Leipzig,de Bundesliga,29.00,34.00,72.00,429.00,169.00,39.40,12.62,4.97,0.15,0.38,16.30,18.00,8.00,9.00,69.50,63.30,0.15,2.50,0.70
Real Madrid,es La Liga,31.00,38.00,80.00,645.00,243.00,37.70,16.97,6.39,0.11,0.30,18.80,21.00,8.00,12.00,78.90,70.50,0.11,1.10,1.50
Real Sociedad,es La Liga,32.00,38.00,40.00,430.00,143.00,33.30,11.32,3.76,0.07,0.22,17.10,18.00,9.00,10.00,57.90,50.10,0.12,-17.90,-19.10
Reims,fr Ligue 1,35.00,38.00,42.00,389.00,137.00,35.20,10.24,3.61,0.10,0.28,18.50,5.00,4.00,6.00,43.90,39.20,0.10,-1.90,-1.20
Rennes,fr Ligue 1,28.00,38.00,81.00,548.00,194.00,35.40,14.42,5.11,0.14,0.40,16.10,14.00,4.00,4.00,69.90,67.30,0.13,11.10,9.70
Roma,it Serie A,29.00,38.00,58.00,592.00,184.00,31.10,15.58,4.84,0.09,0.28,17.30,21.00,7.00,9.00,70.30,63.30,0.11,-12.30,-12.30
Saint-Étienne,fr Ligue 1,39.00,38.00,41.00,434.00,141.00,32.50,11.42,3.71,0.08,0.26,20.00,23.00,5.00,5.00,44.50,40.70,0.10,-3.50,-4.70
Salernitana,it Serie A,42.00,38.00,32.00,426.00,130.00,30.50,11.21,3.42,0.07,0.22,18.10,20.00,4.00,5.00,42.20,38.60,0.09,-10.20,-10.60
Sampdoria,it Serie A,34.00,38.00,42.00,386.00,118.00,30.60,10.16,3.11,0.10,0.34,18.10,12.00,2.00,4.00,41.20,37.90,0.10,0.80,2.10
Sassuolo,it Serie A,29.00,38.00,60.00,569.00,204.00,35.90,14.97,5.37,0.09,0.26,18.80,14.00,7.00,7.00,62.00,56.60,0.10,-2.00,-3.60
Sevilla,es La Liga,33.00,38.00,51.00,430.00,139.00,32.30,11.32,3.66,0.11,0.35,17.00,10.00,2.00,3.00,48.40,46.00,0.11,2.60,3.00
Southampton,eng Premier League,25.00,38.00,41.00,478.00,161.00,33.70,12.58,4.24,0.08,0.23,17.70,24.00,4.00,4.00,49.90,46.70,0.10,-8.90,-9.70
Spezia,it Serie A,30.00,38.00,38.00,381.00,127.00,33.30,10.03,3.34,0.09,0.28,18.70,17.00,3.00,5.00,42.30,38.50,0.10,-4.30,-3.50
Strasbourg,fr Ligue 1,26.00,38.00,56.00,470.00,150.00,31.90,12.37,3.95,0.11,0.33,16.80,10.00,6.00,8.00,62.50,56.80,0.12,-6.50,-6.80
Stuttgart,de Bundesliga,34.00,34.00,40.00,449.00,153.00,34.10,13.21,4.50,0.09,0.25,17.50,10.00,1.00,3.00,49.50,47.20,0.11,-9.50,-8.20
Torino,it Serie A,31.00,38.00,43.00,470.00,142.00,30.20,12.37,3.74,0.08,0.26,17.30,16.00,6.00,6.00,53.10,48.50,0.11,-10.10,-11.50
Tottenham,eng Premier League,25.00,38.00,63.00,486.00,185.00,38.10,12.79,4.87,0.12,0.31,16.70,16.00,5.00,5.00,66.50,62.60,0.13,-3.50,-4.60
Troyes,fr Ligue 1,35.00,38.00,35.00,379.00,120.00,31.70,9.97,3.16,0.08,0.24,18.70,9.00,6.00,7.00,44.00,39.00,0.11,-9.00,-10.00
Udinese,it Serie A,29.00,38.00,58.00,505.00,181.00,35.80,13.29,4.76,0.11,0.30,17.80,19.00,3.00,4.00,58.20,55.10,0.11,-0.20,-0.10
Union Berlin,de Bundesliga,28.00,34.00,50.00,408.00,149.00,36.50,12.00,4.38,0.11,0.30,16.20,7.00,5.00,5.00,53.90,50.10,0.13,-3.90,-5.10
Valencia,es La Liga,34.00,38.00,45.00,394.00,129.00,32.70,10.37,3.39,0.09,0.29,18.90,18.00,8.00,9.00,43.60,37.30,0.10,1.40,-0.30
Venezia,it Serie A,39.00,38.00,34.00,349.00,113.00,32.40,9.18,2.97,0.09,0.27,18.20,22.00,3.00,5.00,40.10,36.00,0.11,-6.10,-5.00
Villarreal,es La Liga,29.00,38.00,62.00,449.00,164.00,36.50,11.82,4.32,0.13,0.35,15.30,8.00,5.00,6.00,67.50,63.80,0.15,-5.50,-6.80
Watford,eng Premier League,30.00,38.00,33.00,397.00,123.00,31.00,10.45,3.24,0.08,0.26,18.10,24.00,1.00,2.00,44.30,42.70,0.11,-11.30,-10.70
West Ham,eng Premier League,25.00,38.00,58.00,443.00,142.00,32.10,11.66,3.74,0.12,0.38,16.60,13.00,4.00,6.00,58.00,53.70,0.12,0.00,0.30
Wolfsburg,de Bundesliga,30.00,34.00,42.00,416.00,137.00,32.90,12.24,4.03,0.09,0.28,17.90,19.00,3.00,4.00,51.10,48.20,0.12,-9.10,-9.20
Wolves,eng Premier League,26.00,38.00,35.00,401.00,133.00,33.20,10.55,3.50,0.08,0.26,18.60,13.00,1.00,1.00,41.20,40.60,0.11,-6.20,-6.60
