Squad,Comp,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1_3,PPA,CrsPA,Prog
Dortmund,de Bundesliga,17410,21052,82.7,292378,101967,8010,8996,89.0,7168,8170,87.7,1495,2454,60.9,57,47.7,46.0,9.3,331,1091,301,48,1177
Eint Frankfurt,de Bundesliga,12628,17023,74.2,229563,88663,5346,6380,83.8,5660,6861,82.5,1313,2783,47.2,33,37.6,33.1,-4.6,331,908,223,78,958
Elche,es La Liga,12948,16836,76.9,237190,93093,5745,6572,87.4,5080,6020,84.4,1676,3129,53.6,29,28.9,24.8,0.1,261,861,204,78,759
Empoli,it Serie A,12796,16700,76.6,227800,91049,5530,6362,86.9,5584,6695,83.4,1315,2560,51.4,27,32.3,25.8,-5.3,343,1013,337,72,1106
Espanyol,es La Liga,13360,16919,79.0,237866,88609,6031,6763,89.2,5391,6281,85.8,1475,2817,52.4,25,28.4,24.8,-3.4,300,993,212,59,821
Everton,eng Premier League,10365,14557,71.2,184800,76152,4888,5859,83.4,3844,4901,78.4,1215,2704,44.9,29,33.5,25.1,-4.5,323,897,255,77,802
Fiorentina,it Serie A,17418,20910,83.3,337614,110293,6638,7448,89.1,8158,9133,89.3,2366,3482,67.9,33,43.7,41.6,-10.7,386,1211,346,105,1107
Freiburg,de Bundesliga,11641,15652,74.4,219063,88321,4842,5855,82.7,4953,5947,83.3,1504,2875,52.3,37,37.6,39.9,-0.6,333,919,293,73,920
Genoa,it Serie A,11185,15587,71.8,198766,81748,5122,6154,83.2,4391,5630,78.0,1298,2719,47.7,19,29.4,25.5,-10.4,281,829,211,74,858
Getafe,es La Liga,10278,14607,70.4,198745,82395,4498,5432,82.8,3949,5095,77.5,1561,3239,48.2,26,22.9,19.7,3.1,288,808,166,73,675
Granada,es La Liga,10582,14889,71.1,199289,81840,4550,5400,84.3,4234,5295,80.0,1460,3218,45.4,28,30.9,25.9,-2.9,306,840,205,82,770
Greuther Fürth,de Bundesliga,10179,13970,72.9,187414,77504,4297,5106,84.2,4427,5407,81.9,1187,2565,46.3,15,21.3,19.8,-6.3,208,737,150,43,768
Hellas Verona,it Serie A,13047,17398,75.0,226861,89360,6087,7199,84.6,5057,6178,81.9,1410,2728,51.7,44,38.9,32.0,5.1,333,1046,350,71,1121
Hertha BSC,de Bundesliga,10314,14077,73.3,185733,76968,4615,5523,83.6,4151,5105,81.3,1226,2478,49.5,23,27.9,26.4,-4.9,271,650,181,56,745
Hoffenheim,de Bundesliga,14323,18141,79.0,256560,98189,6165,7101,86.8,6198,7189,86.2,1564,2758,56.7,42,50.6,53.2,-8.6,336,1046,343,112,1109
Inter,it Serie A,18367,21832,84.1,329949,112120,8090,8994,89.9,7784,8750,89.0,2046,3033,67.5,57,61.8,53.4,-4.8,503,1453,451,128,1305
Juventus,it Serie A,16459,19835,83.0,307159,106119,6680,7513,88.9,7417,8335,89.0,2015,3048,66.1,37,41.2,33.7,-4.2,388,1266,305,79,1087
Köln,de Bundesliga,12637,16911,74.7,245199,96612,4662,5646,82.6,5989,7240,82.7,1722,3053,56.4,40,43.0,42.3,-3.0,355,921,319,125,1012
Lazio,it Serie A,19632,23041,85.2,320297,109254,9873,10872,90.8,7249,8150,88.9,1711,2620,65.3,48,42.5,34.4,5.5,346,1399,309,53,1063
Leeds United,eng Premier League,13988,18288,76.5,242663,89161,6271,7285,86.1,5921,7050,84.0,1325,2754,48.1,26,35.8,25.1,-9.8,347,995,272,53,1105
Leicester City,eng Premier League,16129,20137,80.1,269547,94214,7751,8789,88.2,6573,7579,86.7,1329,2581,51.5,46,37.5,26.9,8.5,312,1025,254,57,1007
Lens,fr Ligue 1,16573,20178,82.1,283822,99074,7615,8585,88.7,6898,7930,87.0,1477,2498,59.1,39,40.9,32.7,-1.9,383,1263,281,70,1254
Levante,es La Liga,12584,16422,76.6,226757,88940,5742,6544,87.7,4982,5929,84.0,1501,2917,51.5,34,36.6,25.8,-2.6,318,968,254,63,970
Leverkusen,de Bundesliga,14735,18338,80.4,258289,94655,6448,7325,88.0,6309,7257,86.9,1474,2580,57.1,58,50.2,47.1,7.8,351,991,296,60,1047
Lille,fr Ligue 1,15086,18926,79.7,265491,93764,6923,7842,88.3,5970,6972,85.6,1658,2862,57.9,29,38.3,35.3,-9.3,344,1124,266,61,1084
Liverpool,eng Premier League,21163,25552,82.8,370621,127116,9420,10506,89.7,9245,10569,87.5,2000,3211,62.3,71,67.9,56.2,3.1,527,1878,511,92,1666
Lorient,fr Ligue 1,13155,16816,78.2,241459,86988,5595,6469,86.5,5493,6468,84.9,1630,2876,56.7,20,34.0,27.5,-14.0,321,998,218,76,942
Lyon,fr Ligue 1,19787,23388,84.6,340268,116719,8987,9961,90.2,8403,9364,89.7,1780,2835,62.8,45,56.3,50.8,-11.3,422,1486,346,66,1326
M'Gladbach,de Bundesliga,14723,18273,80.6,254436,95363,6639,7592,87.4,6334,7234,87.6,1332,2401,55.5,38,44.8,39.5,-6.8,363,933,256,46,1090
Mainz 05,de Bundesliga,10773,15000,71.8,190321,80921,4904,5893,83.2,4358,5557,78.4,1175,2534,46.4,36,40.7,35.9,-4.7,317,878,255,72,924
Mallorca,es La Liga,11046,15023,73.5,194935,82006,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8,23,29.7,28.3,-6.7,303,806,235,64,819
Manchester City,eng Premier League,24406,27902,87.5,412596,117956,11713,12605,92.9,10158,11162,91.0,1972,2895,68.1,63,70.5,57.1,-7.5,536,2110,535,74,1589
Manchester Utd,eng Premier League,16690,20641,80.9,280259,93094,8162,9234,88.4,6398,7436,86.0,1548,2626,58.9,46,47.8,37.1,-1.8,407,1315,312,65,1120
Marseille,fr Ligue 1,21253,24524,86.7,361990,109445,9917,10744,92.3,8776,9635,91.1,1878,2900,64.8,40,46.4,41.7,-6.4,384,1547,336,59,1234
Metz,fr Ligue 1,12069,15688,76.9,222449,84751,5120,6014,85.1,5157,6079,84.8,1430,2715,52.7,24,24.8,21.1,-0.8,275,818,126,49,756
Milan,it Serie A,15719,19320,81.4,283819,100444,6814,7777,87.6,6719,7647,87.9,1787,2874,62.2,39,49.9,40.4,-10.9,436,1202,371,95,1147
Monaco,fr Ligue 1,16299,20558,79.3,292995,105270,6964,8022,86.8,7226,8418,85.8,1702,3045,55.9,45,48.9,48.8,-3.9,348,1387,392,82,1428
Montpellier,fr Ligue 1,13951,17804,78.4,246693,95722,6234,7133,87.4,5560,6581,84.5,1585,2917,54.3,31,30.9,28.5,0.1,290,957,239,70,1011
Nantes,fr Ligue 1,12579,16482,76.3,232023,88008,5385,6257,86.1,5235,6317,82.9,1572,2976,52.8,37,38.1,30.4,-1.1,327,1086,204,76,930
Napoli,it Serie A,19572,22921,85.4,313472,105507,10332,11215,92.1,6928,7820,88.6,1611,2509,64.2,46,44.9,37.0,1.1,450,1389,366,57,1168
Newcastle Utd,eng Premier League,10201,14036,72.7,188373,77685,4545,5432,83.7,3917,4880,80.3,1343,2746,48.9,23,30.4,23.3,-7.4,308,791,193,55,641
Nice,fr Ligue 1,16159,19832,81.5,281749,98178,7357,8329,88.3,6857,7834,87.5,1515,2645,57.3,35,43.0,39.8,-8.0,334,1151,261,102,1045
Norwich City,eng Premier League,12164,16070,75.7,217007,80059,5578,6484,86.0,4912,5949,82.6,1369,2757,49.7,16,26.3,23.7,-10.3,264,739,226,46,778
Osasuna,es La Liga,11904,16522,72.0,228055,96276,5076,6144,82.6,4756,6063,78.4,1702,3278,51.9,23,25.6,27.6,-2.6,297,1099,298,124,948
Paris S-G,fr Ligue 1,23829,26658,89.4,379809,120618,12092,12972,93.2,9124,9854,92.6,1662,2239,74.2,65,63.6,56.0,1.4,433,1844,403,51,1440
Rayo Vallecano,es La Liga,12747,16933,75.3,237761,93061,5524,6408,86.2,5119,6188,82.7,1719,3277,52.5,28,36.6,35.8,-8.6,359,1012,267,109,957
RB Leipzig,de Bundesliga,16163,19771,81.8,265026,97087,7780,8702,89.4,6442,7384,87.2,1269,2311,54.9,53,51.9,56.9,1.1,329,1144,376,75,1196
Real Madrid,es La Liga,21373,24517,87.2,355560,112655,10630,11395,93.3,7948,8751,90.8,1987,2902,68.5,59,57.3,55.1,1.7,526,1694,455,57,1367
Real Sociedad,es La Liga,15403,19304,79.8,269269,98192,6964,7887,88.3,6383,7429,85.9,1569,2800,56.0,22,37.9,35.0,-15.9,313,1067,315,69,1091
Reims,fr Ligue 1,12097,15811,76.5,222517,84221,5187,6061,85.6,5070,6048,83.8,1511,2767,54.6,27,30.8,24.3,-3.8,307,878,233,76,913
Rennes,fr Ligue 1,17606,21263,82.8,330955,109119,7053,8030,87.8,7902,8886,88.9,2224,3332,66.7,61,53.8,45.8,7.2,426,1287,367,89,1229
Roma,it Serie A,15221,18828,80.8,286185,100427,6118,7018,87.2,6937,7898,87.8,1874,3044,61.6,31,50.5,38.3,-19.5,434,1200,332,70,1200
Saint-Étienne,fr Ligue 1,13880,17876,77.6,248221,88276,6137,7086,86.6,5607,6671,84.1,1593,2972,53.6,25,31.0,26.2,-6.0,313,1058,200,62,998
Salernitana,it Serie A,10679,14460,73.9,195781,85345,4825,5744,84.0,4093,5155,79.4,1387,2552,54.3,19,29.0,25.1,-10.0,305,841,222,99,750
Sampdoria,it Serie A,12901,17022,75.8,235384,91604,5582,6565,85.0,5317,6436,82.6,1566,2904,53.9,29,30.1,27.6,-1.1,295,921,266,89,934
Sassuolo,it Serie A,17027,20327,83.8,290090,104109,8123,8959,90.7,6598,7443,88.6,1724,2681,64.3,39,43.7,33.8,-4.7,431,1178,316,55,1162
Sevilla,es La Liga,18327,22234,82.4,341688,109522,7686,8529,90.1,7941,8940,88.8,2275,3745,60.7,40,37.7,34.6,2.3,342,1207,305,112,1019
Southampton,eng Premier League,12505,16940,73.8,211010,80108,6090,7173,84.9,4893,6093,80.3,1112,2591,42.9,26,35.8,28.7,-9.8,353,1016,249,58,969
Spezia,it Serie A,11650,15503,75.1,210448,83575,5218,6112,85.4,4666,5591,83.5,1421,2833,50.2,25,29.6,22.7,-4.6,280,827,209,60,745
Strasbourg,fr Ligue 1,14575,18653,78.1,269512,97470,6111,7060,86.6,6190,7296,84.8,1856,3259,56.9,40,45.2,41.9,-5.2,348,1183,334,108,1173
Stuttgart,de Bundesliga,13754,17354,79.3,244826,91553,6094,7015,86.9,5735,6674,85.9,1484,2611,56.8,31,37.1,37.8,-6.1,337,976,239,60,982
Torino,it Serie A,13943,18082,77.1,249442,87682,6255,7220,86.6,5904,6933,85.2,1434,2885,49.7,27,39.6,31.3,-12.6,364,1153,271,95,911
Tottenham,eng Premier League,17204,20696,83.1,283871,93464,8270,9143,90.5,6856,7812,87.8,1376,2371,58.0,50,50.3,41.3,-0.3,379,1172,338,81,1111
Troyes,fr Ligue 1,13093,16828,77.8,232773,90542,6026,6920,87.1,5157,6131,84.1,1466,2726,53.8,23,30.9,27.0,-7.9,285,937,216,85,912
Udinese,it Serie A,11650,15251,76.4,201058,80592,5511,6357,86.7,4617,5570,82.9,1128,2322,48.6,36,41.4,29.9,-5.4,375,905,280,54,872
Union Berlin,de Bundesliga,10673,14818,72.0,204003,82839,4154,5080,81.8,4744,5871,80.8,1458,2914,50.0,33,37.1,31.7,-4.1,299,815,248,111,862
Valencia,es La Liga,9627,13777,69.9,187440,77725,3923,4782,82.0,3835,4951,77.5,1506,3098,48.6,30,29.6,27.4,0.4,288,900,256,75,833
Venezia,it Serie A,11575,15320,75.6,214514,84877,4947,5783,85.5,4826,5800,83.2,1487,2780,53.5,23,28.7,23.4,-5.7,250,802,215,77,789
Villarreal,es La Liga,16679,20401,81.8,297067,102775,7326,8226,89.1,7130,8098,88.0,1742,2825,61.7,51,54.3,49.9,-3.3,363,1278,349,66,1229
Watford,eng Premier League,10423,14640,71.2,193941,80051,4505,5496,82.0,4270,5325,80.2,1330,2903,45.8,26,36.1,22.4,-10.1,298,834,213,70,783
West Ham,eng Premier League,14325,18377,78.0,251139,89188,6626,7492,88.4,5789,6856,84.4,1479,2906,50.9,46,42.4,32.4,3.6,320,1106,271,87,941
Wolfsburg,de Bundesliga,12596,16439,76.6,238876,90051,4894,5882,83.2,5811,6785,85.6,1568,2774,56.5,25,36.1,38.8,-11.1,295,862,253,69,973
Wolves,eng Premier League,15253,19103,79.8,275608,92848,6533,7415,88.1,6610,7664,86.2,1718,3005,57.2,22,29.0,23.4,-7.0,294,1096,212,57,910
