Squad,Comp,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
RB Leipzig,de Bundesliga,499,289,218,222,59,219,512,43,293,399,81,318,349,848,523,12
Real Madrid,es La Liga,560,345,281,195,84,211,502,42,291,379,114,265,334,894,526,17
Real Sociedad,es La Liga,586,339,271,234,81,260,546,48,286,382,105,277,348,934,703,6
Reims,fr Ligue 1,615,365,328,221,66,286,629,46,343,460,154,306,493,1108,753,7
Rennes,fr Ligue 1,546,318,234,215,97,261,550,48,289,347,92,255,314,860,646,12
Roma,it Serie A,613,362,282,253,78,283,622,46,339,383,82,301,385,998,552,9
Saint-Étienne,fr Ligue 1,695,397,340,266,89,295,638,46,343,398,93,305,451,1146,564,10
Salernitana,it Serie A,541,321,274,208,59,277,579,48,302,394,146,248,353,894,777,3
Sampdoria,it Serie A,562,327,277,217,68,288,629,46,341,383,134,249,442,1004,723,11
Sassuolo,it Serie A,482,271,252,163,67,236,574,41,338,422,127,295,314,796,664,19
Sevilla,es La Liga,534,302,252,211,71,236,544,43,308,367,124,243,270,804,603,18
Southampton,eng Premier League,602,340,285,243,74,248,582,43,334,430,132,298,446,1048,795,13
Spezia,it Serie A,580,343,301,205,74,266,585,46,319,465,176,289,372,952,736,8
Strasbourg,fr Ligue 1,660,392,302,257,101,293,626,47,333,381,94,287,433,1093,563,6
Stuttgart,de Bundesliga,532,307,231,236,65,241,530,46,289,386,124,262,342,874,708,8
Torino,it Serie A,531,314,223,234,74,228,440,52,212,375,108,267,423,954,651,4
Tottenham,eng Premier League,598,349,286,244,68,262,584,45,322,470,161,309,355,953,793,15
Troyes,fr Ligue 1,636,351,351,221,64,285,625,46,340,375,107,268,430,1066,656,8
Udinese,it Serie A,622,350,282,271,69,284,643,44,359,432,122,310,351,973,671,12
Union Berlin,de Bundesliga,538,296,266,223,49,268,568,47,300,322,90,232,376,914,657,7
Valencia,es La Liga,591,364,289,217,85,266,623,43,357,373,93,280,339,930,746,8
Venezia,it Serie A,613,352,325,217,71,273,626,44,353,495,202,293,388,1001,865,13
Villarreal,es La Liga,538,312,250,197,91,229,476,48,247,330,109,221,329,867,644,16
Watford,eng Premier League,614,356,341,213,60,278,626,44,348,440,148,292,444,1058,899,19
West Ham,eng Premier League,534,301,273,199,62,240,557,43,317,420,175,245,374,908,782,5
Wolfsburg,de Bundesliga,539,298,278,201,60,257,540,48,283,388,103,285,388,927,740,9
Wolves,eng Premier League,673,377,377,242,54,273,671,41,398,437,135,302,389,1062,820,20
